xflr5 v6.42

 Calculated polar for: NACA 6508

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-21.000,-0.5508, 0.25226, 0.24417,-0.0017,1.0000,0.0477,-1.3777, 0.0000, 0.2312
-20.900,-0.5474, 0.25112, 0.24302,-0.0024,1.0000,0.0482,-1.3731, 0.0000, 0.2298
-20.800,-0.5441, 0.24999, 0.24190,-0.0032,1.0000,0.0486,-1.3687, 0.0000, 0.2285
-20.700,-0.5408, 0.24887, 0.24078,-0.0039,1.0000,0.0491,-1.3647, 0.0000, 0.2272
-20.600,-0.5375, 0.24777, 0.23968,-0.0047,1.0000,0.0495,-1.3608, 0.0000, 0.2258
-20.500,-0.5342, 0.24667, 0.23859,-0.0054,1.0000,0.0500,-1.3573, 0.0000, 0.2244
-20.400,-0.5309, 0.24560, 0.23752,-0.0062,1.0000,0.0505,-1.3542, 0.0000, 0.2230
-20.300,-0.5277, 0.24456, 0.23648,-0.0069,1.0000,0.0509,-1.3515, 0.0000, 0.2215
-20.200,-0.5244, 0.24356, 0.23547,-0.0077,1.0000,0.0514,-1.3494, 0.0000, 0.2200
-20.100,-0.5212, 0.24261, 0.23453,-0.0085,1.0000,0.0519,-1.3480, 0.0000, 0.2184
-20.000,-0.5181, 0.24174, 0.23366,-0.0093,1.0000,0.0523,-1.3476, 0.0000, 0.2168
-19.900,-0.5150, 0.24098, 0.23291,-0.0102,1.0000,0.0527,-1.3484, 0.0000, 0.2152
-19.800,-0.5120, 0.24037, 0.23230,-0.0110,1.0000,0.0530,-1.3506, 0.0000, 0.2134
-19.700,-0.5092, 0.23992, 0.23185,-0.0119,1.0000,0.0534,-1.3543, 0.0000, 0.2116
-19.600,-0.5065, 0.23965, 0.23159,-0.0129,1.0000,0.0536,-1.3594, 0.0000, 0.2098
-19.500,-0.5041, 0.23955, 0.23150,-0.0138,1.0000,0.0538,-1.3691, 0.0000, 0.2079
-19.400,-0.5019, 0.23960, 0.23156,-0.0148,1.0000,0.0540,-1.3834, 0.0000, 0.2060
-19.300,-0.4999, 0.23980, 0.23177,-0.0157,1.0000,0.0541,-1.3984, 0.0000, 0.2041
-19.200,-0.4982, 0.24011, 0.23209,-0.0167,1.0000,0.0542,-1.4141, 0.0000, 0.2022
-19.100,-0.4967, 0.24051, 0.23250,-0.0176,1.0000,0.0543,-1.4302, 0.0000, 0.2003
-19.000,-0.4954, 0.24096, 0.23297,-0.0185,1.0000,0.0544,-1.4467, 0.0000, 0.1985
-18.900,-0.4943, 0.24148, 0.23350,-0.0194,1.0000,0.0545,-1.4633, 0.0000, 0.1968
-18.800,-0.4933, 0.24203, 0.23406,-0.0203,1.0000,0.0545,-1.4802, 0.0000, 0.1951
-18.500,-0.2874, 0.18432, 0.17743,-0.0363,1.0000,0.0636,-0.8817, 0.0000, 0.1156
-18.400,-0.2861, 0.18369, 0.17681,-0.0366,1.0000,0.0643,-0.8852, 0.0000, 0.1142
-18.300,-0.2850, 0.18313, 0.17625,-0.0368,1.0000,0.0650,-0.8895, 0.0000, 0.1129
-18.200,-0.2840, 0.18266, 0.17578,-0.0371,1.0000,0.0657,-0.8951, 0.0000, 0.1115
-18.100,-0.2832, 0.18230, 0.17543,-0.0374,1.0000,0.0663,-0.9021, 0.0000, 0.1101
-18.000,-0.2826, 0.18211, 0.17524,-0.0377,1.0000,0.0669,-0.9111, 0.0000, 0.1088
-17.900,-0.2823, 0.18211, 0.17524,-0.0380,1.0000,0.0673,-0.9219, 0.0000, 0.1076
-17.800,-0.2824, 0.18230, 0.17544,-0.0384,1.0000,0.0677,-0.9346, 0.0000, 0.1064
-17.700,-0.2829, 0.18266, 0.17581,-0.0387,1.0000,0.0679,-0.9486, 0.0000, 0.1054
-17.600,-0.2836, 0.18317, 0.17633,-0.0391,1.0000,0.0681,-0.9637, 0.0000, 0.1046
-17.500,-0.2846, 0.18381, 0.17697,-0.0394,1.0000,0.0683,-0.9795, 0.0000, 0.1039
-17.400,-0.2859, 0.18455, 0.17772,-0.0397,1.0000,0.0684,-0.9958, 0.0000, 0.1035
-17.300,-0.2874, 0.18536, 0.17854,-0.0401,1.0000,0.0685,-1.0127, 0.0000, 0.1031
-17.200,-0.2891, 0.18624, 0.17943,-0.0404,1.0000,0.0686,-1.0298, 0.0000, 0.1030
-17.100,-0.2910, 0.18717, 0.18037,-0.0407,1.0000,0.0687,-1.0472, 0.0000, 0.1029
-17.000,-0.2824, 0.18136, 0.17460,-0.0404,1.0000,0.0691,-1.0129, 0.0000, 0.0995
-16.900,-0.2739, 0.17608, 0.16932,-0.0399,1.0000,0.0700,-0.9674, 0.0000, 0.0968
-16.800,-0.2706, 0.17411, 0.16734,-0.0397,1.0000,0.0707,-0.9502, 0.0000, 0.0956
-16.700,-0.2683, 0.17277, 0.16601,-0.0396,1.0000,0.0713,-0.9395, 0.0000, 0.0947
-16.600,-0.2665, 0.17170, 0.16495,-0.0396,1.0000,0.0720,-0.9321, 0.0000, 0.0938
-16.500,-0.2649, 0.17079, 0.16405,-0.0395,1.0000,0.0727,-0.9267, 0.0000, 0.0930
-16.400,-0.2636, 0.16998, 0.16321,-0.0395,1.0000,0.0734,-0.9229, 0.0000, 0.0922
-16.300,-0.2624, 0.16924, 0.16247,-0.0395,1.0000,0.0741,-0.9201, 0.0000, 0.0915
-16.200,-0.2613, 0.16854, 0.16178,-0.0396,1.0000,0.0748,-0.9181, 0.0000, 0.0908
-16.100,-0.2603, 0.16787, 0.16112,-0.0396,1.0000,0.0755,-0.9170, 0.0000, 0.0902
-16.000,-0.2594, 0.16724, 0.16050,-0.0396,1.0000,0.0763,-0.9164, 0.0000, 0.0896
-15.900,-0.2586, 0.16664, 0.15990,-0.0396,1.0000,0.0770,-0.9166, 0.0000, 0.0890
-15.800,-0.2579, 0.16608, 0.15935,-0.0397,1.0000,0.0778,-0.9174, 0.0000, 0.0885
-15.700,-0.2573, 0.16555, 0.15883,-0.0397,1.0000,0.0785,-0.9189, 0.0000, 0.0880
-15.600,-0.2569, 0.16508, 0.15837,-0.0397,1.0000,0.0792,-0.9214, 0.0000, 0.0876
